full_name,name,owner,owner_type,created_at,updated_at,forks_count,stars_count,default_branch,topics,language,open_issues_count,open_pull_requests_count,branches_count,tags_count,commits_count,watchers_count,releases_count,packages_count,contributors_count,languages,close_issues_count,issues_count,close_pull_requests_count,pull_requests_count
EthanJWright/dotfiles,dotfiles,EthanJWright,User,2016-10-09T16:02:57Z,2021-03-30T18:02:55Z,3,0,master,[],Vim script,0,0,3,0,295,1,0,0,5,"['Vim Script', 'Python', 'Shell', 'C', 'C++', 'Makefile']",0,0,7,7
PLVision/ovsdb-client,ovsdb-client,PLVision,Organization,2016-11-30T17:46:54Z,2018-04-02T08:43:47Z,1,1,master,['ovsdb'],JavaScript,0,0,1,0,8,4,0,0,0,['JavaScript'],0,0,0,0
dbalatero/VimMode.spoon,VimMode.spoon,dbalatero,User,2018-06-19T22:46:22Z,2023-02-18T17:39:05Z,24,551,master,"['hammerspoon', 'lua', 'macvim', 'osx', 'vim']",Lua,15,6,16,0,274,14,0,0,6,"['Lua', 'Ruby', 'Shell']",43,58,38,44
evilsocket/pwnagotchi,pwnagotchi,evilsocket,User,2019-09-19T13:07:15Z,2023-02-19T10:37:29Z,847,5513,master,"['ai', 'bettercap', 'deep-learning', 'deep-neural-network', 'deep-reinforcement-learning', 'handshakes', 'wpa-psk']",JavaScript,190,15,3,22,1734,208,21,0,144,"['JavaScript', 'Python', 'CSS', 'HTML', 'Shell', 'PowerShell', 'Makefile']",402,592,521,536
schollz/progressbar,progressbar,schollz,User,2017-10-26T18:28:10Z,2023-02-19T10:14:45Z,182,3117,main,"['command-line', 'go', 'golang', 'hacktoberfest', 'library', 'progress-bar', 'progressbar', 'terminal']",Go,23,4,7,81,298,23,65,0,42,['Go'],54,77,72,76
j8xixo12/QuantFinance,QuantFinance,j8xixo12,User,2020-03-23T15:34:59Z,2020-06-01T05:28:56Z,1,1,master,[],Jupyter Notebook,0,0,1,0,66,1,0,0,0,"['Jupyter Notebook', 'C++']",0,0,0,0
j8xixo12/Stm32-Bootloader,Stm32-Bootloader,j8xixo12,User,2020-07-28T07:55:19Z,2022-02-22T02:09:39Z,0,1,master,[],C,0,0,1,0,3,0,0,0,0,"['C', 'Assembly']",0,0,0,0
cambecc/earth,earth,cambecc,User,2013-11-04T10:40:52Z,2023-02-19T03:10:33Z,1059,4778,master,[],JavaScript,83,3,1,0,175,273,0,0,2,"['JavaScript', 'HTML', 'CSS']",35,118,7,10
nasa/trick,trick,nasa,Organization,2015-02-17T16:17:32Z,2023-02-17T00:37:26Z,213,654,master,[],C++,125,10,39,31,1960,67,25,0,36,"['C++', 'Java', 'C', 'Python', 'Perl', 'Makefile']",914,1039,408,418
dungru/P.E.K.K.A,P.E.K.K.A,dungru,User,2016-11-05T16:12:20Z,2016-11-19T02:15:08Z,2,1,master,[],C,0,0,1,0,15,2,0,0,0,"['C', 'Assembly']",0,0,0,0
progranism/stm32f4-gcc-template,stm32f4-gcc-template,progranism,User,2013-02-27T01:59:10Z,2022-04-09T23:12:14Z,16,18,master,[],C,2,0,1,0,3,4,0,0,2,"['C', 'Assembly']",0,2,0,0
pakls/lanspeed,lanspeed,pakls,User,2013-02-01T08:13:06Z,2022-07-03T02:57:54Z,0,3,master,[],C,0,0,1,0,2,2,0,0,0,['C'],0,0,0,0
pakls/civil-manual-tw,civil-manual-tw,pakls,User,2012-11-07T05:08:31Z,2013-11-06T08:32:12Z,0,1,master,[],,0,0,1,0,8,4,0,0,0,[],0,0,0,0
pakls/qdot,qdot,pakls,User,2013-06-18T14:03:06Z,2014-10-03T04:06:14Z,3,1,master,[],Python,0,0,1,0,39,2,0,0,3,"['Python', 'Shell']",0,0,4,4
pakls/emu8051,emu8051,pakls,User,2013-12-05T15:31:08Z,2015-10-10T04:49:08Z,1,1,master,[],C,0,0,1,0,177,2,0,0,0,"['C', 'Perl', 'C++', 'Assembly', 'Shell']",0,0,0,0
pakls/teraterm-ttssh2,teraterm-ttssh2,pakls,User,2014-12-15T08:42:05Z,2016-05-25T09:41:14Z,0,1,master,[],C,0,0,3,144,2444,2,0,0,0,"['C', 'C++', 'Objective-C', 'Perl', 'Shell', 'CSS']",0,0,0,0
pakls/minicli,minicli,pakls,User,2015-04-13T00:09:13Z,2022-03-25T08:14:33Z,1,1,master,[],C,0,0,1,0,21,2,0,0,0,"['C', 'C++', 'Makefile']",0,0,0,0
zhengyaohan/zheng,zheng,zhengyaohan,User,2016-09-23T05:14:47Z,2016-09-23T05:14:47Z,0,0,master,[],,0,0,0,0,0,0,0,0,0,[],0,0,0,0
bekencorp/armino,armino,bekencorp,User,2022-05-09T14:42:21Z,2023-02-07T15:36:41Z,10,18,main,[],C,3,1,1,6,16,4,1,0,2,"['C', 'C++', 'ZAP', 'Objective-C', 'Objective-C++', 'HTML']",0,3,2,3
KyleBastien/DominoEffect,DominoEffect,KyleBastien,User,2015-02-06T20:00:15Z,2015-03-11T22:03:00Z,1,0,master,[],ASP,6,0,1,0,19,4,0,0,4,"['Classic ASP', 'HTML', 'C#']",2,8,11,11
AlexPygin/TerminalSetup,TerminalSetup,AlexPygin,User,2021-10-30T18:05:45Z,2021-10-31T00:14:37Z,0,0,main,[],Shell,0,0,1,0,5,1,0,0,0,"['Shell', 'PowerShell']",0,0,0,0
ARMmbed/mbed-os-tools,mbed-os-tools,ARMmbed,Organization,2018-11-02T16:29:10Z,2023-01-27T19:42:54Z,63,31,master,[],Python,5,5,11,31,2872,12,15,0,74,['Python'],84,89,191,196
petroakzhygitov/nest-ios-sdk,nest-ios-sdk,petroakzhygitov,User,2016-01-07T22:13:26Z,2018-11-16T09:46:54Z,5,12,master,[],Objective-C,2,2,2,6,405,3,6,0,0,"['Objective-C', 'Swift']",3,5,0,2
